eNBId,bts_name,Cell,NodeId,EUtranCellFDDId,earfcndl,administrativeState,operationalState,userLabel,tac,physicalLayerCellId,physicalLayerCellIdGroup,physicalLayerSubCellId,latitude,longitude,ems,catm1SupportEnabled,cellRange,crsGain,dlChannelBandwidth,freqBand,noOfPucchCqiUsers,noOfPucchSrUsers,primaryPlmnReserved,rachRootSequence,highSpeedUEActive,commonSrPeriodicity,address,RF_port,productName,serialNumber,Cascade,sleepMode,sleepState,RATFreqPrioId,spidList,EutranFreqRelationId,cellReselectionPriority,featureState_LoadBasedDistributionAtRelease_CXC4011944,featureState_SpidRatFreqPrio_CXC4011063,IdleModePrioAtRelease,a1a2SearchThresholdRsrp,hysteresisA1A2SearchRsrp,a5Threshold1Rsrp,a5Threshold2Rsrp,hysteresisA5,a3offset,hysteresisA3,part_name,city,gu,dong,bungi,sisul_code,ru_name,new_sisul,latitude_norm_2,longitude_norm_2,eqp_id,mibos_eqp_nm,du_eqp_id
73662,DummyBTS_323,1,dummy-node-460,dummy-eutran-769,2850,UNLOCKED,ENABLED,Blank,1011,6,7,2,39.91875108,127.7100783,1,FALSE,13,308,13582,4,284,223,FALSE,72,FALSE,6,40.dummy.address,69-B2-RRUS5-0,RRUS7,CB4L343226,0,DEACTIVATED,DEACTIVATED,3,"[149, 105, 63, 5]",4,5,DEACTIVATED,DEACTIVATED,4,-108,4,-102,-100,9,18,1,nan,nan,nan,nan,nan,nan,nan,nan,39.01530194,128.0274685,4546458306,nan,7196969451
62075,DummyBTS_894,4,dummy-node-568,dummy-eutran-413,3200,UNLOCKED,DISABLED,Blank,1295,5,8,4,37.86034336,129.3389848,0,FALSE,28,77,19409,6,106,245,TRUE,21,TRUE,48,79.dummy.address,97-B4-RRUS10-0,RRUS7,CB4L125114,0,DEACTIVATED,DEACTIVATED,8,"[52, 56, 72, 77]",9,2,DEACTIVATED,ACTIVATED,9,-122,6,-101,-129,6,7,6,nan,nan,nan,nan,nan,nan,nan,nan,38.90335514,129.6872609,8397246142,nan,9340480865
67943,DummyBTS_290,5,dummy-node-947,dummy-eutran-244,2850,LOCKED,DISABLED,Blank,1836,1,4,5,39.56385014,127.4944223,0,TRUE,19,51,12240,7,342,427,FALSE,72,FALSE,35,93.dummy.address,97-B6-RRUS19-0,RRUS16,CB4L136937,2,ACTIVATED,DEACTIVATED,5,"[94, 24, 157, 61]",3,9,DEACTIVATED,DEACTIVATED,3,-110,8,-109,-123,2,7,4,nan,nan,nan,nan,nan,nan,nan,nan,39.81915669,128.1143605,8700695842,nan,6714445116
60212,DummyBTS_115,5,dummy-node-761,dummy-eutran-925,2850,LOCKED,DISABLED,Blank,1929,8,1,5,35.18080879,129.5168832,2,FALSE,19,457,18300,8,433,365,FALSE,14,FALSE,21,52.dummy.address,3-B1-RRUS7-0,RRUS4,CB4L813936,2,DEACTIVATED,ACTIVATED,6,"[125, 53, 17, 78]",7,3,DEACTIVATED,DEACTIVATED,7,-114,3,-128,-114,8,3,1,nan,nan,nan,nan,nan,nan,nan,nan,36.34555914,127.1922983,1055678869,nan,2064794475
63353,DummyBTS_334,4,dummy-node-482,dummy-eutran-360,2850,UNLOCKED,ENABLED,Blank,1716,3,6,1,39.1907377,129.1057059,0,TRUE,28,277,19825,2,52,203,FALSE,31,TRUE,27,89.dummy.address,92-B17-RRUS8-0,RRUS3,CB4L742667,2,ACTIVATED,DEACTIVATED,9,"[23, 61, 28, 100]",0,0,DEACTIVATED,ACTIVATED,2,-102,4,-102,-119,0,12,2,nan,nan,nan,nan,nan,nan,nan,nan,35.70983896,129.1277056,3791091905,nan,4333039056
75345,DummyBTS_251,2,dummy-node-622,dummy-eutran-125,2500,LOCKED,DISABLED,Blank,1459,8,0,8,36.05780217,128.598931,2,FALSE,13,336,18398,7,221,8,TRUE,57,TRUE,41,17.dummy.address,26-B9-RRUS1-0,RRUS6,CB4L332481,2,DEACTIVATED,ACTIVATED,5,"[96, 114, 118, 141]",8,4,DEACTIVATED,ACTIVATED,0,-129,2,-96,-113,8,49,6,nan,nan,nan,nan,nan,nan,nan,nan,37.20638157,128.5131234,1669117616,nan,8847361751
60207,DummyBTS_434,8,dummy-node-119,dummy-eutran-229,3200,LOCKED,ENABLED,Blank,1660,3,3,9,38.76825941,128.9017412,0,FALSE,3,338,18388,4,155,467,FALSE,57,FALSE,29,91.dummy.address,47-B5-RRUS19-0,RRUS4,CB4L242134,2,DEACTIVATED,ACTIVATED,6,"[173, 145, 176, 68]",3,5,DEACTIVATED,DEACTIVATED,1,-111,8,-129,-116,0,48,4,nan,nan,nan,nan,nan,nan,nan,nan,39.32232266,128.9756822,6272774367,nan,6285087056
76377,DummyBTS_351,9,dummy-node-914,dummy-eutran-584,2500,UNLOCKED,DISABLED,Blank,1505,1,1,8,36.84860016,128.7504131,2,FALSE,15,159,13172,2,172,150,FALSE,4,TRUE,16,16.dummy.address,51-B10-RRUS15-0,RRUS4,CB4L609119,1,ACTIVATED,ACTIVATED,6,"[51, 116, 113, 46]",1,3,DEACTIVATED,DEACTIVATED,1,-102,0,-111,-109,1,35,9,nan,nan,nan,nan,nan,nan,nan,nan,38.16991701,129.787934,9949466623,nan,7254099823
78074,DummyBTS_471,2,dummy-node-291,dummy-eutran-912,2850,LOCKED,ENABLED,Blank,1049,5,8,1,36.63983086,128.3598972,1,TRUE,5,148,13197,7,192,137,FALSE,48,TRUE,32,65.dummy.address,67-B5-RRUS3-0,RRUS19,CB4L880450,2,ACTIVATED,DEACTIVATED,2,"[49, 54, 4, 103]",6,8,DEACTIVATED,ACTIVATED,8,-120,9,-105,-130,7,4,1,nan,nan,nan,nan,nan,nan,nan,nan,36.14409585,128.7864105,9553762991,nan,2763607789
77259,DummyBTS_183,5,dummy-node-719,dummy-eutran-618,2500,LOCKED,ENABLED,Blank,1571,1,2,4,38.17939648,128.091517,1,TRUE,26,370,16776,9,68,105,FALSE,98,TRUE,9,19.dummy.address,80-B3-RRUS15-0,RRUS15,CB4L750536,1,ACTIVATED,ACTIVATED,9,"[128, 1, 71, 127]",0,0,ACTIVATED,DEACTIVATED,9,-92,8,-112,-98,0,43,8,nan,nan,nan,nan,nan,nan,nan,nan,36.97896592,128.1600997,7048490145,nan,6704966388
76374,DummyBTS_271,1,dummy-node-753,dummy-eutran-255,2500,UNLOCKED,ENABLED,Blank,1866,2,3,6,37.46583132,129.7763414,1,TRUE,26,183,17290,9,23,303,TRUE,69,FALSE,6,51.dummy.address,80-B13-RRUS11-0,RRUS2,CB4L914432,2,DEACTIVATED,ACTIVATED,2,"[110, 25, 15, 22]",6,2,DEACTIVATED,ACTIVATED,7,-122,6,-108,-111,8,11,3,nan,nan,nan,nan,nan,nan,nan,nan,37.06783264,128.4645196,2696613242,nan,8068631082
73107,DummyBTS_41,8,dummy-node-678,dummy-eutran-344,3200,UNLOCKED,DISABLED,Blank,1692,5,1,7,36.10325679,127.2935019,1,FALSE,22,184,19655,8,49,441,TRUE,22,FALSE,33,62.dummy.address,51-B14-RRUS5-0,RRUS19,CB4L809943,1,DEACTIVATED,ACTIVATED,0,"[20, 136, 77, 42]",8,8,ACTIVATED,ACTIVATED,4,-114,0,-109,-123,1,40,1,nan,nan,nan,nan,nan,nan,nan,nan,37.70148702,128.981214,1291790727,nan,3731771923
66615,DummyBTS_216,5,dummy-node-969,dummy-eutran-945,2500,UNLOCKED,ENABLED,Blank,1724,2,2,2,39.88488083,127.4697536,1,FALSE,22,317,15087,6,114,231,TRUE,90,TRUE,17,73.dummy.address,84-B18-RRUS8-0,RRUS15,CB4L737552,2,DEACTIVATED,ACTIVATED,9,"[47, 94, 18, 4]",9,8,ACTIVATED,ACTIVATED,3,-101,3,-106,-99,1,0,3,nan,nan,nan,nan,nan,nan,nan,nan,37.40333631,128.8228886,1418515686,nan,6766617750
66720,DummyBTS_195,8,dummy-node-277,dummy-eutran-650,2850,LOCKED,ENABLED,Blank,1953,4,0,6,36.52928278,127.0097711,2,FALSE,13,193,14798,3,373,346,FALSE,53,TRUE,3,59.dummy.address,72-B19-RRUS5-0,RRUS14,CB4L142821,0,DEACTIVATED,ACTIVATED,2,"[144, 163, 165, 197]",5,2,DEACTIVATED,DEACTIVATED,1,-125,2,-120,-113,0,22,4,nan,nan,nan,nan,nan,nan,nan,nan,37.94735572,129.6441256,3137231505,nan,1525992973
71105,DummyBTS_671,5,dummy-node-291,dummy-eutran-195,2500,UNLOCKED,ENABLED,Blank,1694,8,6,3,35.86085032,129.750857,1,FALSE,14,60,12557,5,139,421,TRUE,28,FALSE,31,11.dummy.address,7-B16-RRUS19-0,RRUS7,CB4L722940,2,ACTIVATED,ACTIVATED,3,"[110, 181, 102, 184]",1,0,ACTIVATED,ACTIVATED,8,-105,4,-112,-111,2,43,4,nan,nan,nan,nan,nan,nan,nan,nan,39.73426022,127.775279,7479747390,nan,5109109236
75975,DummyBTS_935,2,dummy-node-646,dummy-eutran-70,2500,UNLOCKED,DISABLED,Blank,1735,4,6,5,39.59340428,128.6174731,2,TRUE,14,197,13094,1,298,175,FALSE,61,TRUE,10,6.dummy.address,90-B2-RRUS8-0,RRUS1,CB4L883191,2,ACTIVATED,ACTIVATED,8,"[51, 87, 86, 181]",4,7,DEACTIVATED,ACTIVATED,4,-99,2,-115,-122,2,39,1,nan,nan,nan,nan,nan,nan,nan,nan,36.03350552,129.4646799,8743559321,nan,4016257363
77890,DummyBTS_400,7,dummy-node-460,dummy-eutran-497,2500,UNLOCKED,ENABLED,Blank,1746,4,7,3,37.79159507,128.4452488,2,TRUE,24,16,13838,6,401,128,FALSE,43,TRUE,3,62.dummy.address,83-B15-RRUS12-0,RRUS16,CB4L679705,2,ACTIVATED,ACTIVATED,7,"[169, 98, 37, 155]",0,9,DEACTIVATED,ACTIVATED,7,-119,4,-123,-108,9,27,8,nan,nan,nan,nan,nan,nan,nan,nan,39.67484234,127.4419094,3751060889,nan,9734454157
75220,DummyBTS_820,5,dummy-node-102,dummy-eutran-190,2850,LOCKED,ENABLED,Blank,1715,0,2,3,37.33626116,128.4943054,0,TRUE,26,295,13167,5,60,104,TRUE,45,FALSE,2,11.dummy.address,29-B19-RRUS16-0,RRUS16,CB4L863918,1,DEACTIVATED,DEACTIVATED,6,"[188, 19, 99, 133]",2,2,ACTIVATED,ACTIVATED,4,-108,4,-123,-105,1,27,7,nan,nan,nan,nan,nan,nan,nan,nan,36.78567471,129.3686738,9372502480,nan,7650052710
73218,DummyBTS_780,6,dummy-node-772,dummy-eutran-22,3200,LOCKED,DISABLED,Blank,1452,4,2,8,39.59826567,129.4678583,1,TRUE,22,295,19689,3,181,91,TRUE,67,FALSE,23,21.dummy.address,67-B13-RRUS3-0,RRUS2,CB4L651151,2,ACTIVATED,ACTIVATED,2,"[107, 30, 2, 145]",8,9,ACTIVATED,DEACTIVATED,1,-99,4,-101,-113,2,42,2,nan,nan,nan,nan,nan,nan,nan,nan,39.2575087,129.3495114,1833012951,nan,8711411309
66852,DummyBTS_111,0,dummy-node-210,dummy-eutran-5,2500,UNLOCKED,DISABLED,Blank,1247,8,9,4,39.30106043,128.2244346,1,TRUE,17,437,11676,8,373,458,TRUE,91,FALSE,35,3.dummy.address,82-B15-RRUS10-0,RRUS2,CB4L275823,0,ACTIVATED,DEACTIVATED,6,"[118, 12, 17, 98]",3,5,ACTIVATED,ACTIVATED,7,-113,2,-102,-95,9,21,6,nan,nan,nan,nan,nan,nan,nan,nan,38.64930716,127.4077156,2560266478,nan,8077826581
73905,DummyBTS_586,9,dummy-node-886,dummy-eutran-681,2850,LOCKED,ENABLED,Blank,1732,1,6,1,38.69167564,127.4944686,2,TRUE,7,265,15135,4,205,135,FALSE,28,TRUE,6,66.dummy.address,79-B10-RRUS11-0,RRUS2,CB4L325025,0,DEACTIVATED,ACTIVATED,8,"[142, 32, 111, 123]",3,6,DEACTIVATED,DEACTIVATED,1,-100,8,-126,-129,8,0,1,nan,nan,nan,nan,nan,nan,nan,nan,38.32333186,129.2216026,5125244203,nan,3303374623
63191,DummyBTS_59,1,dummy-node-392,dummy-eutran-509,2500,LOCKED,DISABLED,Blank,1681,0,4,0,38.90098653,127.8242969,1,FALSE,24,195,13506,3,139,401,TRUE,94,FALSE,16,48.dummy.address,90-B11-RRUS11-0,RRUS16,CB4L593177,2,DEACTIVATED,DEACTIVATED,7,"[34, 21, 3, 109]",2,4,DEACTIVATED,DEACTIVATED,7,-130,2,-129,-125,8,25,9,nan,nan,nan,nan,nan,nan,nan,nan,36.96179663,128.2103716,5391192034,nan,3820711486
76481,DummyBTS_638,4,dummy-node-224,dummy-eutran-110,2850,LOCKED,ENABLED,Blank,1373,7,0,7,38.54248673,129.6727091,1,TRUE,10,338,14333,8,334,289,FALSE,99,FALSE,46,6.dummy.address,2-B13-RRUS16-0,RRUS2,CB4L353709,2,DEACTIVATED,DEACTIVATED,9,"[21, 127, 34, 87]",9,2,DEACTIVATED,DEACTIVATED,3,-111,1,-105,-112,4,13,4,nan,nan,nan,nan,nan,nan,nan,nan,35.20870688,127.6428116,3723105602,nan,2505933048
60153,DummyBTS_871,5,dummy-node-785,dummy-eutran-574,2500,LOCKED,ENABLED,Blank,1725,4,8,6,39.08686408,129.8139155,1,TRUE,28,175,12964,5,27,29,FALSE,40,FALSE,12,69.dummy.address,88-B10-RRUS5-0,RRUS5,CB4L289685,1,ACTIVATED,ACTIVATED,1,"[37, 177, 31, 107]",4,8,DEACTIVATED,ACTIVATED,7,-109,9,-115,-95,9,15,2,nan,nan,nan,nan,nan,nan,nan,nan,38.33383409,128.534713,2074146559,nan,6914778427
68463,DummyBTS_14,3,dummy-node-757,dummy-eutran-290,2850,UNLOCKED,ENABLED,Blank,1566,4,3,3,35.89678223,128.4677051,0,TRUE,24,216,13475,6,311,83,FALSE,70,TRUE,12,52.dummy.address,57-B18-RRUS13-0,RRUS16,CB4L333232,1,DEACTIVATED,DEACTIVATED,1,"[59, 128, 154, 47]",6,0,DEACTIVATED,ACTIVATED,5,-93,4,-91,-95,5,25,1,nan,nan,nan,nan,nan,nan,nan,nan,39.36823948,129.2404861,2702964841,nan,8521196258
72228,DummyBTS_693,8,dummy-node-241,dummy-eutran-562,2500,LOCKED,ENABLED,Blank,1396,1,3,1,37.82924316,127.4606269,0,TRUE,3,40,13303,9,56,5,TRUE,42,TRUE,32,79.dummy.address,36-B6-RRUS17-0,RRUS15,CB4L350103,2,DEACTIVATED,ACTIVATED,0,"[116, 181, 90, 196]",7,5,DEACTIVATED,DEACTIVATED,7,-114,0,-95,-99,6,16,1,nan,nan,nan,nan,nan,nan,nan,nan,39.12417871,129.421165,9313416619,nan,9589532831
66297,DummyBTS_979,8,dummy-node-770,dummy-eutran-789,2500,UNLOCKED,DISABLED,Blank,1870,1,6,5,38.68390951,129.584558,0,FALSE,7,219,19989,3,274,121,FALSE,15,TRUE,2,98.dummy.address,15-B8-RRUS1-0,RRUS1,CB4L434409,0,ACTIVATED,DEACTIVATED,9,"[62, 88, 149, 12]",5,5,DEACTIVATED,DEACTIVATED,5,-106,4,-102,-108,0,40,4,nan,nan,nan,nan,nan,nan,nan,nan,37.64691384,128.5426868,3867218187,nan,9281283771
74068,DummyBTS_191,9,dummy-node-320,dummy-eutran-380,2850,LOCKED,DISABLED,Blank,1465,8,1,7,35.39758041,129.5031924,0,FALSE,29,218,16613,4,445,84,TRUE,15,FALSE,11,17.dummy.address,98-B2-RRUS6-0,RRUS15,CB4L557485,2,DEACTIVATED,DEACTIVATED,9,"[87, 21, 176, 28]",7,6,DEACTIVATED,ACTIVATED,5,-123,8,-104,-126,2,31,8,nan,nan,nan,nan,nan,nan,nan,nan,37.00064797,127.3755973,9068403931,nan,5729860855
63711,DummyBTS_608,9,dummy-node-719,dummy-eutran-301,2850,UNLOCKED,ENABLED,Blank,1457,8,2,8,39.06284595,127.1818359,2,TRUE,9,26,18179,9,252,40,TRUE,44,TRUE,13,28.dummy.address,99-B16-RRUS19-0,RRUS9,CB4L412230,0,ACTIVATED,DEACTIVATED,2,"[55, 79, 185, 98]",0,1,DEACTIVATED,DEACTIVATED,0,-118,3,-110,-114,3,38,0,nan,nan,nan,nan,nan,nan,nan,nan,37.51477214,127.6921061,6242129964,nan,4557615783
70932,DummyBTS_399,1,dummy-node-911,dummy-eutran-102,2500,UNLOCKED,ENABLED,Blank,1165,6,9,8,35.51805114,127.2635563,2,TRUE,28,184,18995,3,479,490,TRUE,12,FALSE,46,40.dummy.address,66-B7-RRUS11-0,RRUS4,CB4L761666,2,ACTIVATED,ACTIVATED,8,"[59, 196, 39, 26]",4,6,ACTIVATED,DEACTIVATED,4,-112,9,-118,-116,2,29,2,nan,nan,nan,nan,nan,nan,nan,nan,37.53899078,128.4413894,2238537722,nan,2894085565
61351,DummyBTS_227,0,dummy-node-944,dummy-eutran-248,2850,LOCKED,ENABLED,Blank,1812,0,1,2,39.44143065,129.1167733,0,FALSE,19,483,10419,6,84,167,FALSE,57,FALSE,25,55.dummy.address,57-B11-RRUS2-0,RRUS13,CB4L410174,0,DEACTIVATED,DEACTIVATED,4,"[196, 194, 7, 40]",3,4,DEACTIVATED,ACTIVATED,0,-121,1,-125,-122,7,37,4,nan,nan,nan,nan,nan,nan,nan,nan,37.22801744,128.0356126,3932147048,nan,4339620984
74441,DummyBTS_700,3,dummy-node-916,dummy-eutran-342,2500,LOCKED,ENABLED,Blank,1171,8,7,5,39.9045675,127.2587482,0,TRUE,3,370,14985,4,280,76,TRUE,29,FALSE,32,16.dummy.address,75-B4-RRUS2-0,RRUS2,CB4L927049,1,ACTIVATED,DEACTIVATED,7,"[128, 62, 75, 164]",0,5,ACTIVATED,DEACTIVATED,7,-111,2,-109,-123,1,34,4,nan,nan,nan,nan,nan,nan,nan,nan,37.12490671,127.1040559,3572586961,nan,9519875973
64120,DummyBTS_643,8,dummy-node-846,dummy-eutran-748,2850,LOCKED,DISABLED,Blank,1479,9,0,4,39.73493227,129.270679,2,TRUE,2,251,17938,9,274,81,TRUE,39,TRUE,9,80.dummy.address,96-B9-RRUS8-0,RRUS2,CB4L594056,1,DEACTIVATED,ACTIVATED,0,"[127, 5, 191, 125]",6,2,DEACTIVATED,DEACTIVATED,3,-102,7,-108,-101,0,12,3,nan,nan,nan,nan,nan,nan,nan,nan,39.11713811,128.7452376,2407119035,nan,6360601808
60283,DummyBTS_141,4,dummy-node-605,dummy-eutran-640,2850,UNLOCKED,ENABLED,Blank,1978,9,3,2,38.90314675,129.4318556,1,TRUE,28,95,17198,5,126,76,TRUE,82,TRUE,2,97.dummy.address,71-B1-RRUS13-0,RRUS3,CB4L278401,2,DEACTIVATED,ACTIVATED,8,"[182, 77, 120, 87]",5,7,DEACTIVATED,DEACTIVATED,5,-91,7,-121,-99,3,22,6,nan,nan,nan,nan,nan,nan,nan,nan,38.68253919,127.2107358,6706964147,nan,3034469260
78828,DummyBTS_456,3,dummy-node-799,dummy-eutran-959,2850,LOCKED,ENABLED,Blank,1495,0,5,1,35.7871499,127.6267735,2,FALSE,19,455,10658,4,27,248,FALSE,83,TRUE,43,96.dummy.address,75-B3-RRUS4-0,RRUS2,CB4L242355,1,DEACTIVATED,ACTIVATED,7,"[86, 143, 148, 67]",6,6,DEACTIVATED,DEACTIVATED,8,-112,5,-121,-119,8,20,5,nan,nan,nan,nan,nan,nan,nan,nan,35.15331191,129.1437894,1269162177,nan,2635976942
62429,DummyBTS_132,6,dummy-node-777,dummy-eutran-700,3200,UNLOCKED,DISABLED,Blank,1068,8,2,5,35.33163586,129.7486662,0,FALSE,21,162,19418,4,357,444,TRUE,96,FALSE,21,78.dummy.address,49-B16-RRUS5-0,RRUS9,CB4L504181,2,DEACTIVATED,DEACTIVATED,0,"[69, 45, 99, 75]",6,1,ACTIVATED,ACTIVATED,9,-104,9,-118,-93,1,19,3,nan,nan,nan,nan,nan,nan,nan,nan,37.10058838,128.0440374,1409169385,nan,6608513418
77446,DummyBTS_552,5,dummy-node-925,dummy-eutran-229,2850,LOCKED,ENABLED,Blank,1935,8,7,0,35.89646216,127.3036984,2,FALSE,17,173,14714,5,296,251,FALSE,32,TRUE,28,21.dummy.address,80-B13-RRUS15-0,RRUS9,CB4L993364,1,DEACTIVATED,DEACTIVATED,3,"[13, 135, 156, 81]",6,1,DEACTIVATED,DEACTIVATED,7,-128,1,-97,-97,0,15,9,nan,nan,nan,nan,nan,nan,nan,nan,35.00148388,127.8779609,5275513307,nan,8440269420
77154,DummyBTS_195,5,dummy-node-185,dummy-eutran-495,2500,UNLOCKED,ENABLED,Blank,1379,9,1,0,39.25525316,128.704075,1,TRUE,15,158,12835,1,245,398,FALSE,85,FALSE,37,21.dummy.address,87-B10-RRUS14-0,RRUS2,CB4L409512,2,ACTIVATED,DEACTIVATED,0,"[126, 50, 26, 93]",2,2,ACTIVATED,ACTIVATED,0,-97,2,-95,-112,7,18,9,nan,nan,nan,nan,nan,nan,nan,nan,36.35491469,129.2659134,2506900417,nan,7621534401
62284,DummyBTS_813,7,dummy-node-8,dummy-eutran-209,2850,UNLOCKED,ENABLED,Blank,1973,7,8,3,38.7249251,127.7034955,2,TRUE,12,99,11189,7,235,491,TRUE,43,TRUE,38,26.dummy.address,17-B6-RRUS2-0,RRUS18,CB4L179020,1,DEACTIVATED,DEACTIVATED,6,"[157, 47, 39, 135]",2,0,ACTIVATED,DEACTIVATED,8,-123,2,-95,-119,5,31,7,nan,nan,nan,nan,nan,nan,nan,nan,36.72466931,128.3857803,8766130396,nan,9360282163
65730,DummyBTS_195,9,dummy-node-799,dummy-eutran-145,3200,LOCKED,DISABLED,Blank,1893,2,5,6,39.11504533,129.1920676,1,FALSE,4,54,13090,1,413,319,FALSE,6,FALSE,11,74.dummy.address,96-B7-RRUS8-0,RRUS12,CB4L523006,2,ACTIVATED,ACTIVATED,1,"[57, 162, 25, 148]",8,6,DEACTIVATED,DEACTIVATED,1,-128,4,-92,-96,6,44,0,nan,nan,nan,nan,nan,nan,nan,nan,39.34072831,128.6701294,1093425868,nan,9148489037
72792,DummyBTS_135,4,dummy-node-690,dummy-eutran-909,2850,LOCKED,DISABLED,Blank,1469,1,3,0,37.61222152,127.3390933,0,FALSE,16,440,11269,3,483,301,FALSE,95,TRUE,37,19.dummy.address,36-B4-RRUS1-0,RRUS12,CB4L487241,2,DEACTIVATED,ACTIVATED,7,"[46, 89, 198, 197]",1,4,DEACTIVATED,ACTIVATED,6,-127,8,-99,-116,9,33,1,nan,nan,nan,nan,nan,nan,nan,nan,36.81519511,129.5598672,7616502484,nan,3166240788
68207,DummyBTS_703,2,dummy-node-500,dummy-eutran-291,3200,UNLOCKED,ENABLED,Blank,1765,0,4,1,36.52116811,128.0234228,1,FALSE,22,8,14892,9,91,491,FALSE,49,TRUE,47,84.dummy.address,40-B2-RRUS6-0,RRUS14,CB4L509187,1,ACTIVATED,DEACTIVATED,2,"[22, 126, 117, 87]",3,5,ACTIVATED,DEACTIVATED,5,-117,3,-92,-104,5,3,8,nan,nan,nan,nan,nan,nan,nan,nan,39.85856221,128.5388025,2230944670,nan,5742049899
78373,DummyBTS_846,9,dummy-node-894,dummy-eutran-432,3200,LOCKED,DISABLED,Blank,1714,0,4,8,35.38038943,128.4715823,1,FALSE,5,331,13721,8,327,433,FALSE,23,FALSE,8,57.dummy.address,43-B14-RRUS19-0,RRUS7,CB4L592207,2,DEACTIVATED,DEACTIVATED,9,"[34, 75, 145, 46]",9,0,DEACTIVATED,ACTIVATED,2,-118,3,-92,-96,1,46,9,nan,nan,nan,nan,nan,nan,nan,nan,39.40369006,127.6065957,8321464172,nan,2698903755
71734,DummyBTS_152,6,dummy-node-64,dummy-eutran-422,2850,UNLOCKED,ENABLED,Blank,1680,5,1,2,37.55202792,129.2348208,0,FALSE,28,316,14577,6,15,200,FALSE,42,FALSE,0,29.dummy.address,90-B13-RRUS11-0,RRUS3,CB4L357955,0,DEACTIVATED,DEACTIVATED,0,"[125, 79, 158, 180]",1,4,DEACTIVATED,ACTIVATED,9,-130,0,-116,-121,9,16,1,nan,nan,nan,nan,nan,nan,nan,nan,38.01434424,128.4352238,4393676532,nan,4218426957
67149,DummyBTS_330,3,dummy-node-480,dummy-eutran-216,2500,UNLOCKED,ENABLED,Blank,1191,1,2,0,38.53245273,127.3067281,0,TRUE,19,184,17688,3,131,134,FALSE,59,FALSE,26,13.dummy.address,7-B17-RRUS2-0,RRUS10,CB4L595453,2,ACTIVATED,DEACTIVATED,5,"[41, 146, 67, 195]",9,7,DEACTIVATED,DEACTIVATED,3,-92,9,-117,-105,7,26,8,nan,nan,nan,nan,nan,nan,nan,nan,35.92607086,127.8450221,9629234798,nan,7643850147
77221,DummyBTS_265,3,dummy-node-181,dummy-eutran-133,2500,LOCKED,DISABLED,Blank,1342,5,3,2,37.75579075,127.2861391,1,TRUE,4,477,13986,8,420,390,FALSE,32,TRUE,23,25.dummy.address,7-B8-RRUS1-0,RRUS14,CB4L107509,2,ACTIVATED,ACTIVATED,3,"[133, 28, 44, 160]",3,2,DEACTIVATED,ACTIVATED,2,-97,4,-97,-93,7,42,6,nan,nan,nan,nan,nan,nan,nan,nan,37.34576358,128.8145144,1666922711,nan,3521649179
65659,DummyBTS_754,2,dummy-node-695,dummy-eutran-294,3200,LOCKED,ENABLED,Blank,1090,5,3,1,37.29887665,128.4166127,2,TRUE,8,35,11494,1,348,306,FALSE,2,FALSE,44,7.dummy.address,96-B8-RRUS11-0,RRUS10,CB4L340547,1,ACTIVATED,ACTIVATED,8,"[40, 38, 21, 169]",6,9,ACTIVATED,DEACTIVATED,7,-116,0,-115,-110,9,34,6,nan,nan,nan,nan,nan,nan,nan,nan,37.63867724,128.5796236,6467058696,nan,8970145419
62267,DummyBTS_71,0,dummy-node-67,dummy-eutran-88,2500,UNLOCKED,ENABLED,Blank,1149,9,3,5,35.27289925,127.3409006,0,FALSE,5,116,19440,3,287,57,FALSE,22,TRUE,16,71.dummy.address,58-B16-RRUS2-0,RRUS10,CB4L495288,2,DEACTIVATED,ACTIVATED,8,"[196, 181, 1, 75]",4,5,ACTIVATED,DEACTIVATED,9,-100,4,-128,-114,1,11,5,nan,nan,nan,nan,nan,nan,nan,nan,36.47175314,127.7144976,2967138720,nan,2645577022
79726,DummyBTS_931,8,dummy-node-141,dummy-eutran-971,3200,LOCKED,DISABLED,Blank,1621,7,8,1,36.37580085,127.3141694,2,TRUE,22,30,19298,8,148,315,FALSE,43,TRUE,40,38.dummy.address,16-B1-RRUS11-0,RRUS14,CB4L460618,2,DEACTIVATED,ACTIVATED,5,"[40, 102, 135, 144]",0,6,DEACTIVATED,DEACTIVATED,0,-122,4,-120,-111,9,45,6,nan,nan,nan,nan,nan,nan,nan,nan,38.13572227,129.6415061,2654972403,nan,4810696024
61609,DummyBTS_335,9,dummy-node-241,dummy-eutran-836,2850,UNLOCKED,ENABLED,Blank,1801,7,7,4,37.57278667,127.4005491,0,TRUE,14,76,14239,2,126,354,FALSE,21,FALSE,24,98.dummy.address,60-B10-RRUS15-0,RRUS8,CB4L840236,1,ACTIVATED,ACTIVATED,9,"[61, 64, 159, 161]",7,1,DEACTIVATED,ACTIVATED,5,-113,9,-108,-107,5,40,8,nan,nan,nan,nan,nan,nan,nan,nan,37.22336329,127.3038099,6474538536,nan,6834403291
